pair,timeframe,direction,quality,confidence,consensus,entry_score,risk_reward,regime,kalman_direction,kalman_trend_state,trend_vs_kalman_conflict,confidence_minus_quality,approved,reject_reason,institutional_score,structural_score,market_score,momentum_score,liquidity_score,risk_score,confidence_score_scanner,flow_score,timing_index,conviction_score,entry_score_scanner
BNKRUSDT,4h,short,0.6835,0.8645,0.72,0.0,0.0,trending_down,DOWN,continuing,False,0.181,False,RVOL 0.44 < 0.7,0.7009,0.5137,0.875,0.6275,0.916,0.5326,0.8645,0.7,0.76,0.9716,0.0
BNKRUSDT,30m,long,0.5961,0.8645,0.72,0.8658,0.0,trending_down,DOWN,reversing,False,0.2684,False,RVOL 0.64 < 0.7,0.6769,0.5137,0.875,0.6672,0.916,0.5326,0.8645,0.4,0.609,0.5237,0.8658
BOBAUSDT,1d,short,0.6337,0.7444,0.7,0.0,0.0,ranging,DOWN,continuing,False,0.1107,False,RVOL 0.57 < 0.7,0.6455,0.5135,0.461,0.6534,0.916,0.7811,0.7444,0.6,0.757,0.96,0.0
BOBAUSDT,4h,short,0.5701,0.7451,0.7,0.2113,0.0,ranging,DOWN,reversing,False,0.175,False,RVOL 0.46 < 0.7,0.6224,0.5137,0.461,0.6319,0.916,0.7811,0.7451,0.4,0.659,0.6506,0.2113
BOBAUSDT,1h,short,0.4714,0.6031,0.7,0.0,0.0,ranging,DOWN,continuing,False,0.1317,False,Sem BOS ou CHoCH confirmado,0.5079,0.1911,0.461,0.653,0.916,0.753,0.6031,0.2,0.528,0.637,0.0
BOBUSDT,1d,short,0.6667,0.7436,0.72,0.0,0.0,ranging,DOWN,continuing,False,0.0769,False,RVOL 0.59 < 0.7,0.6433,0.5135,0.4458,0.4775,0.916,0.6472,0.7436,1.0,0.799,1.0,0.0
BSBUSDT,30m,short,0.7057,0.866,0.86,0.3872,0.0,trending_down,DOWN,continuing,False,0.1603,False,Entry Zone FAIL (score 0.39 < 0.4),0.7163,0.5139,0.8871,0.6424,0.979,0.2895,0.866,0.96,0.685,0.9843,0.3872
BSBUSDT,1h,short,0.6869,0.7982,0.86,0.4982,0.0,trending_down,DOWN,continuing,False,0.1113,False,Sem BOS ou CHoCH confirmado,0.7185,0.5137,0.8871,0.7161,0.979,0.2895,0.7982,0.94,0.68,0.7754,0.4982
BSBUSDT,4h,short,0.6059,0.8633,0.86,0.0,0.0,trending_down,DOWN,continuing,False,0.2574,False,RVOL 0.50 < 0.7,0.6756,0.5134,0.8871,0.6406,0.979,0.2895,0.8633,0.56,0.51,0.6373,0.0
BTSUSDT,30m,long,0.7701,0.7878,0.75,0.6173,0.0,trending_down,DOWN,continuing,False,0.0177,False,RR 0.00 abaixo do minimo 2.0,0.7833,0.5945,0.8838,0.7985,0.958,0.5982,0.7878,1.0,0.89,1.0,0.6173
